,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Family/kid friendly'}),frozenset({'Fire extinguisher'}),0.4996019484287083,0.4145673381819163,0.23455357504284113,0.46948090530978226,1.132459945756193,0.027434925132252486,1.103509124699708,0.23374703601096233
1,frozenset({'Fire extinguisher'}),frozenset({'Family/kid friendly'}),0.4145673381819163,0.4996019484287083,0.23455357504284113,0.5657791954172633,1.1324599457561928,0.027434925132252486,1.1524045975921118,0.19979507295887106
2,frozenset({'First aid kit'}),frozenset({'Family/kid friendly'}),0.3714968088407929,0.4996019484287083,0.20592084845704417,0.5543004503850065,1.1094841646000977,0.020320318925136638,1.1227250554853558,0.15700833703693332
3,frozenset({'Family/kid friendly'}),frozenset({'First aid kit'}),0.4996019484287083,0.3714968088407929,0.20592084845704417,0.4121698266083293,1.1094841646000977,0.020320318925136638,1.0691917829478892,0.1972034874165651
4,frozenset({'Free parking on premises'}),frozenset({'Family/kid friendly'}),0.31896749470389013,0.4996019484287083,0.200199700449326,0.6276492237404289,1.2562985907369666,0.040842918609838796,1.3438888367523019,0.2995611606391182
5,frozenset({'Family/kid friendly'}),frozenset({'Free parking on premises'}),0.4996019484287083,0.31896749470389013,0.200199700449326,0.400718414087398,1.2562985907369666,0.040842918609838796,1.1364148695792404,0.4076972064116914
6,frozenset({'cancellation_policy_strict'}),frozenset({'Family/kid friendly'}),0.4368312396270459,0.4996019484287083,0.24327022979044946,0.55689751034781,1.1146824228754535,0.02502849133824936,1.1293054389382362,0.18268679247952951
7,frozenset({'Family/kid friendly'}),frozenset({'cancellation_policy_strict'}),0.4996019484287083,0.4368312396270459,0.24327022979044946,0.4869281045751634,1.1146824228754537,0.02502849133824936,1.0976410234020635,0.2056033074752089
8,frozenset({'cleaning_fee_True'}),frozenset({'Family/kid friendly'}),0.7340745638299307,0.4996019484287083,0.39768725290442714,0.5417532121390365,1.0843696943995067,0.030942170523039547,1.0919837625203763,0.29258309134419086
9,frozenset({'Family/kid friendly'}),frozenset({'cleaning_fee_True'}),0.4996019484287083,0.7340745638299307,0.39768725290442714,0.7960082104467131,1.0843696943995067,0.030942170523039547,1.3036085263647534,0.15548678884215492
10,frozenset({'First aid kit'}),frozenset({'Fire extinguisher'}),0.3714968088407929,0.4145673381819163,0.25299888005829096,0.6810257155310184,1.6427384716742386,0.09898843687408726,1.8353600598013524,0.6225272699428211
